Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
MED14,6,-0.72202,-11.703,0.009443,0.71429,1.23E-31,9.99E-30,-0.92536,-11.677,0.006601,0.56503,1.66E-31,3.12E-29,-0.29749,-5.2111,0.11245,0.74027,1.88E-07,8.06E-07,-0.26123,-4.5462,0.13362,0.75379,5.46E-06,2.30E-05
SMU1,6,-0.7166,-12.705,0.0096722,0.71429,5.52E-37,7.82E-35,-0.96432,-13.424,0.0057758,0.56503,4.39E-41,2.46E-38,-0.70199,-12.169,0.011231,0.58135,4.55E-34,4.17E-32,-0.72665,-12.321,0.009443,0.59095,6.98E-35,1.45E-32
RRP9,6,-0.71615,-12.951,0.0096722,0.71429,2.33E-38,3.79E-36,-0.98667,-12.3,0.0055466,0.56503,9.06E-35,2.44E-32,-0.85031,-14.553,0.0064634,0.58128,5.56E-48,1.78E-45,-0.7611,-13.103,0.0079762,0.59095,3.16E-39,9.84E-37
MRPS21,6,-0.71512,-12.1,0.0096722,0.71429,1.05E-33,1.04E-31,-0.69961,-10.276,0.010864,0.56503,9.05E-25,7.45E-23,-0.73572,-12.105,0.0099473,0.58128,9.95E-34,8.82E-32,-0.80732,-12.878,0.0069218,0.59095,6.02E-38,1.68E-35
WDR43,6,-0.6993,-11.12,0.010314,0.71429,9.98E-29,6.22E-27,-0.39797,-5.7767,0.050974,0.66132,7.62E-09,6.04E-08,-0.50573,-8.2278,0.027687,0.62431,1.91E-16,2.83E-15,-0.41795,-6.842,0.041073,0.60339,7.81E-12,9.58E-11
GOLGA6L10,4,-0.699,-9.9002,0.01036,0.71429,4.15E-23,1.40E-21,-0.9007,-11.982,0.0069677,0.56503,4.39E-33,9.87E-31,-0.70403,-10.982,0.011002,0.58135,4.68E-28,2.33E-26,-0.78301,-11.874,0.0073344,0.59095,1.62E-32,2.67E-30
NUTM2A,6,-0.69564,-12.182,0.010406,0.71429,3.89E-34,4.12E-32,-0.54924,-9.4278,0.02182,0.60836,4.19E-21,2.13E-19,-0.15319,-3.1173,0.32368,0.8739,0.0018254,0.0038732,-0.23884,-4.7505,0.15897,0.78575,2.03E-06,9.36E-06
THAP1,6,-0.6953,-11.493,0.010406,0.71429,1.43E-30,1.05E-28,-0.46176,-6.9201,0.035159,0.62715,4.51E-12,6.41E-11,-0.75534,-11.97,0.0089388,0.58128,5.12E-33,4.27E-31,-0.45634,-7.6589,0.032226,0.5956,1.88E-14,3.44E-13
NUPL1,6,-0.69386,-10.401,0.010452,0.71429,2.46E-25,1.04E-23,-0.88043,-10.243,0.007151,0.56503,1.28E-24,1.02E-22,-0.0039658,-0.068671,0.77933,0.97974,0.94525,0.95799,-0.044508,-0.75268,0.64419,0.95631,0.45164,0.53474
CAPZB,6,-0.69011,-10.753,0.010497,0.71429,5.75E-27,2.90E-25,-0.84665,-10.338,0.007747,0.56503,4.74E-25,4.02E-23,-0.37239,-6.1315,0.065505,0.68649,8.70E-10,5.32E-09,-0.4397,-6.9947,0.036168,0.60015,2.66E-12,3.51E-11
C21orf59,6,-0.68907,-10.8,0.010589,0.71429,3.44E-27,1.78E-25,-0.64749,-9.6738,0.013385,0.56897,3.90E-22,2.20E-20,-0.37954,-6.7958,0.061471,0.67573,1.08E-11,8.63E-11,-0.54464,-9.306,0.019757,0.59095,1.33E-20,5.97E-19
NIP7,6,-0.68885,-11.683,0.010589,0.71429,1.55E-31,1.25E-29,-0.71264,-10.244,0.010543,0.56503,1.26E-24,1.01E-22,-0.538,-9.2098,0.023378,0.62024,3.27E-20,7.47E-19,-0.5049,-8.5823,0.024937,0.59095,9.30E-18,2.81E-16
SF3B4,6,-0.68273,-11.399,0.010772,0.71429,4.24E-30,3.01E-28,-0.90661,-12.123,0.0067843,0.56503,7.99E-34,1.96E-31,-0.6409,-10.534,0.014119,0.58349,6.01E-26,2.51E-24,-0.55881,-9.2225,0.018336,0.59095,2.90E-20,1.24E-18
ACTG2,6,-0.68224,-12.099,0.010818,0.71429,1.07E-33,1.05E-31,-0.16127,-2.8082,0.28879,0.87652,0.004982,0.01126,-0.52076,-9.329,0.025625,0.62148,1.07E-20,2.57E-19,-0.37799,-6.8718,0.053862,0.62368,6.34E-12,7.88E-11
CDC45,6,-0.67646,-11.773,0.011047,0.71429,5.38E-32,4.46E-30,-0.62859,-9.4216,0.01476,0.57188,4.44E-21,2.24E-19,-0.62249,-9.8071,0.015265,0.58775,1.05E-22,3.11E-21,-0.57785,-9.8779,0.017144,0.59095,5.19E-23,3.14E-21
SAE1,6,-0.67625,-10.006,0.011047,0.71429,1.43E-23,5.11E-22,-0.29408,-4.6347,0.11217,0.7685,3.57E-06,1.68E-05,-0.19726,-3.5439,0.23873,0.84101,0.0003943,0.00095224,-0.29184,-5.081,0.10314,0.70489,3.75E-07,2.00E-06
YKT6,6,-0.67309,-12.208,0.011139,0.71429,2.81E-34,3.05E-32,-0.60675,-9.7821,0.016273,0.57188,1.34E-22,8.08E-21,-0.7093,-12.496,0.010818,0.58128,7.85E-36,8.52E-34,-0.4526,-8.2819,0.03328,0.60015,1.21E-16,3.10E-15
CENPE,6,-0.67138,-9.9813,0.011277,0.71429,1.84E-23,6.45E-22,-0.42335,-5.6101,0.04419,0.6496,2.02E-08,1.48E-07,0.089005,1.5703,0.86055,0.98382,0.11635,0.16205,-0.19782,-3.2001,0.22159,0.82869,0.0013738,0.0034072
NSMCE1,6,-0.66666,-11.854,0.011598,0.71429,2.05E-32,1.75E-30,-0.57121,-8.9358,0.019482,0.59944,4.04E-19,1.58E-17,0.081542,1.632,0.88985,0.98836,0.10267,0.14526,-0.048662,-0.94359,0.62769,0.95586,0.34538,0.42848
ST20,6,-0.66522,-10.573,0.011735,0.71429,3.97E-26,1.78E-24,-0.48981,-6.8748,0.030163,0.62134,6.21E-12,8.61E-11,-0.33268,-5.5897,0.08595,0.71851,2.28E-08,1.13E-07,-0.45611,-7.3153,0.032271,0.5956,2.57E-13,3.96E-12
GATA3,6,-0.66382,-11.887,0.011735,0.71429,1.39E-32,1.21E-30,-1.4592,-17.814,0.0022003,0.56503,5.49E-71,2.00E-67,-1.0287,-16.575,0.004584,0.58128,1.06E-61,1.00E-58,-0.78496,-13.198,0.0072427,0.59095,8.95E-40,2.87E-37
ARHGDIA,6,-0.66381,-11.639,0.011735,0.71429,2.61E-31,2.04E-29,0.058606,1.1484,0.97424,0.99723,0.25078,0.33251,-0.69515,-12.999,0.011552,0.58135,1.24E-38,1.62E-36,-0.46034,-8.8911,0.031584,0.59448,6.05E-19,2.16E-17
SRGAP3,6,-0.66169,-9.3456,0.011918,0.71429,9.14E-21,2.39E-19,-0.52205,-6.3645,0.024937,0.60836,1.96E-10,2.08E-09,-0.10653,-1.6964,0.43956,0.91603,0.089805,0.12919,-0.39657,-5.7485,0.046848,0.60689,9.00E-09,6.46E-08
PREX1,6,-0.66003,-10.727,0.01201,0.71429,7.60E-27,3.77E-25,-0.31858,-5.4869,0.093009,0.74322,4.09E-08,2.81E-07,-0.57067,-10.359,0.019665,0.61286,3.81E-25,1.47E-23,-0.44165,-8.118,0.035709,0.60015,4.74E-16,1.10E-14
EXOC6B,6,-0.65857,-10.496,0.012102,0.71429,8.98E-26,3.90E-24,-0.12771,-2.0808,0.36443,0.90569,0.037452,0.06563,0.26798,5.2125,0.30231,0.86971,1.86E-07,8.02E-07,0.12053,2.2622,0.66115,0.95631,0.023685,0.042817
SF3B5,6,-0.65796,-12.453,0.012239,0.71429,1.35E-35,1.68E-33,-0.57572,-9.6575,0.018978,0.59568,4.57E-22,2.56E-20,-0.3711,-7.2604,0.066285,0.68658,3.86E-13,3.78E-12,-0.33086,-6.4451,0.07559,0.66331,1.16E-10,1.17E-09
CCAR1,6,-0.6575,-9.7136,0.012331,0.71429,2.64E-22,8.27E-21,-0.32682,-4.5032,0.087738,0.73122,6.69E-06,2.98E-05,-0.52986,-7.8734,0.024479,0.6205,3.45E-15,4.37E-14,-0.24055,-3.7637,0.15696,0.78372,0.00016741,0.00051165
METTL2B,6,-0.65644,-9.5217,0.012331,0.71429,1.70E-21,4.84E-20,-0.084583,-1.3242,0.48581,0.94216,0.18544,0.2586,-0.24546,-4.1957,0.16718,0.79341,2.72E-05,8.13E-05,-0.3449,-5.6603,0.068118,0.64944,1.51E-08,1.04E-07
SNX22,6,-0.65471,-9.5167,0.012468,0.71429,1.79E-21,5.06E-20,0.0051051,0.075282,0.80353,0.98209,0.93999,0.95665,-0.54167,-7.9037,0.023149,0.62024,2.71E-15,3.46E-14,-0.40722,-6.0393,0.043686,0.60388,1.55E-09,1.28E-08
MBTD1,6,-0.65297,-10.007,0.012468,0.71429,1.41E-23,5.07E-22,-0.20347,-3.328,0.2138,0.84171,0.00087481,0.0023904,0.045307,0.86912,0.96805,0.99614,0.38478,0.45839,-0.14369,-2.6286,0.33284,0.89169,0.0085749,0.01746
CRCP,6,-0.65163,-11.403,0.01256,0.71429,4.04E-30,2.88E-28,-1.0582,-14.081,0.0046757,0.56503,4.94E-45,4.31E-42,-0.83971,-13.714,0.0067385,0.58128,8.34E-43,1.65E-40,-1.4567,-19.624,0.0016044,0.59095,9.62E-86,3.50E-82
ISCA2,6,-0.65153,-11.761,0.01256,0.71429,6.21E-32,5.13E-30,-1.1704,-14.198,0.0040798,0.56503,9.40E-46,9.76E-43,-0.55757,-10.032,0.021086,0.61286,1.10E-23,3.62E-22,-0.34749,-6.4361,0.066697,0.64944,1.23E-10,1.24E-09
LMOD2,6,-0.6515,-10.796,0.01256,0.71429,3.61E-27,1.85E-25,-0.11504,-1.8722,0.39835,0.9174,0.06118,0.10012,-0.035651,-0.65759,0.66441,0.96549,0.5108,0.58225,-0.13113,-2.3445,0.36612,0.90399,0.019055,0.035368
TBCA,6,-0.64666,-9.914,0.013019,0.71429,3.62E-23,1.23E-21,-0.72955,-9.7598,0.0099473,0.56503,1.67E-22,9.92E-21,-0.87129,-12.78,0.0059134,0.58128,2.13E-37,2.60E-35,-0.95327,-13.485,0.0047215,0.59095,1.91E-41,6.95E-39
HSPE1,6,-0.64589,-11.576,0.013064,0.71429,5.45E-31,4.11E-29,-1.1225,-15.402,0.0044465,0.56503,1.59E-53,2.66E-50,-0.65708,-11.495,0.013339,0.58135,1.40E-30,9.07E-29,-0.83914,-13.916,0.0063718,0.59095,5.07E-44,2.46E-41
NCAPG,6,-0.64588,-11.305,0.013064,0.71429,1.24E-29,8.46E-28,-0.81924,-11.525,0.0082054,0.56503,9.89E-31,1.58E-28,-0.40668,-7.3305,0.050699,0.65426,2.29E-13,2.32E-12,-0.39379,-7.0171,0.04804,0.61251,2.27E-12,3.02E-11
TAZ,6,-0.6458,-11.545,0.013064,0.71429,7.79E-31,5.82E-29,-0.46542,-7.564,0.034426,0.62634,3.91E-14,7.59E-13,0.11125,2.219,0.77639,0.97974,0.026484,0.043875,-0.097318,-1.862,0.4623,0.92821,0.062597,0.099909
ANAPC5,6,-0.64548,-11.991,0.013064,0.71429,3.97E-33,3.64E-31,-0.34676,-6.068,0.075223,0.71249,1.29E-09,1.18E-08,-0.32881,-6.3198,0.088471,0.71851,2.62E-10,1.74E-09,-0.17605,-3.4291,0.26065,0.85077,0.00060563,0.0016283
HYOU1,6,-0.64206,-12.723,0.013248,0.71429,4.42E-37,6.31E-35,-0.69406,-12.048,0.011047,0.56503,1.98E-33,4.74E-31,-0.75522,-14.391,0.0089388,0.58128,5.93E-47,1.80E-44,-0.43364,-8.6404,0.03768,0.60234,5.60E-18,1.74E-16
PPP1R13B,6,-0.64102,-11.149,0.013294,0.71429,7.26E-29,4.56E-27,-0.13189,-2.236,0.35388,0.90134,0.02535,0.046746,-0.1758,-3.3095,0.27664,0.85924,0.00093471,0.0021054,-0.092182,-1.742,0.47807,0.93021,0.0815,0.12546
SLC2A10,6,-0.63749,-11.852,0.013385,0.71429,2.11E-32,1.79E-30,-0.17939,-3.2253,0.25143,0.84933,0.0012585,0.0033055,-0.049858,-1.011,0.61549,0.95832,0.312,0.38336,-0.009932,-0.20063,0.78345,0.9731,0.84099,0.87764
UBA3,6,-0.63698,-10.961,0.013431,0.71429,5.88E-28,3.41E-26,-0.3359,-5.8992,0.08242,0.72784,3.65E-09,3.07E-08,-0.16727,-3.3134,0.29452,0.86657,0.00092185,0.0020794,-0.47305,-8.8084,0.029521,0.59095,1.27E-18,4.35E-17
PSTK,6,-0.63361,-10.16,0.013752,0.71429,3.00E-24,1.16E-22,-0.50361,-7.1587,0.027366,0.61209,8.15E-13,1.29E-11,0.071554,1.2909,0.92684,0.99142,0.19675,0.25682,-0.073184,-1.2714,0.54155,0.94248,0.20359,0.27548
SRSF2,6,-0.63268,-11.315,0.013798,0.71429,1.11E-29,7.58E-28,-0.6815,-10.378,0.011873,0.56503,3.11E-25,2.68E-23,-0.78133,-13.197,0.0082054,0.58128,9.11E-40,1.33E-37,-0.36487,-6.65,0.058721,0.63072,2.93E-11,3.25E-10
DNAJC17,6,-0.63216,-9.0445,0.013798,0.71429,1.50E-19,3.42E-18,-0.34075,-4.7182,0.078845,0.71997,2.38E-06,1.16E-05,-0.081019,-1.3573,0.51455,0.93418,0.17468,0.23154,-0.19324,-3.1152,0.22998,0.83364,0.0018385,0.0044282
PSMA6,6,-0.63104,-10.717,0.013935,0.71429,8.46E-27,4.14E-25,-0.73674,-10.175,0.0098556,0.56503,2.57E-24,1.99E-22,-0.35095,-6.2072,0.076324,0.70653,5.39E-10,3.40E-09,-0.2503,-4.4635,0.14495,0.76727,8.06E-06,3.27E-05
MFI2,6,-0.63036,-11.137,0.013935,0.71429,8.29E-29,5.20E-27,-0.37691,-6.1768,0.060188,0.68888,6.54E-10,6.31E-09,-0.21557,-3.8697,0.20986,0.82892,0.00010899,0.0002932,-0.038926,-0.74013,0.66537,0.95631,0.45922,0.54154
MLL2,4,-0.62838,-9.3547,0.014027,0.71429,8.39E-21,2.22E-19,-0.46565,-6.359,0.034334,0.62521,2.03E-10,2.15E-09,-0.71229,-10.238,0.010727,0.58128,1.34E-24,4.82E-23,-0.38807,-5.8425,0.050057,0.61568,5.14E-09,3.86E-08
PDSS2,6,-0.62796,-10.339,0.014073,0.71429,4.71E-25,1.93E-23,-0.19807,-3.1408,0.22109,0.84325,0.0016849,0.0042825,0.25837,4.8278,0.32294,0.8739,1.38E-06,5.14E-06,-0.040646,-0.72046,0.65913,0.95631,0.47124,0.55306
MED25,6,-0.62724,-9.7174,0.014073,0.71429,2.54E-22,8.00E-21,0.069554,1.1585,0.92826,0.99456,0.24666,0.32779,0.14771,2.7911,0.64387,0.96254,0.0052522,0.010152,0.10144,1.8762,0.73926,0.96697,0.060626,0.097132
