Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
SLC11A1,6,0.07813,1.5764,0.89315,0.99115,0.11494,0.16062,0.26276,4.9516,0.26702,0.86566,7.36E-07,3.97E-06,0.28381,5.8027,0.26848,0.85401,6.52E-09,3.50E-08,0.11905,2.3551,0.66702,0.95631,0.018519,0.034515
LRRC37A,6,0.07815,1.6163,0.8931,0.99115,0.10603,0.14976,0.0091407,0.17135,0.82063,0.98407,0.86395,0.89924,0.16826,3.4717,0.57456,0.94756,0.00051713,0.0012261,-0.062174,-1.2343,0.58038,0.94666,0.2171,0.29027
MYO1F,6,0.078153,1.637,0.89306,0.99115,0.10163,0.14428,0.012657,0.23731,0.83631,0.98687,0.81241,0.85784,-0.095461,-1.9198,0.47311,0.92691,0.054886,0.083765,0.13104,2.6999,0.61824,0.95384,0.0069364,0.01447
ARPC1A,6,0.078162,1.7257,0.89306,0.99115,0.084402,0.12245,-0.054108,-1.0903,0.58061,0.95694,0.27558,0.35984,0.09931,2.1741,0.82182,0.98263,0.029694,0.048566,-0.068334,-1.459,0.55783,0.94395,0.14457,0.20545
KMT2E,6,0.078168,1.4603,0.89301,0.99115,0.1442,0.19635,0.27759,4.2203,0.23383,0.84422,2.44E-05,9.57E-05,0.40655,7.9109,0.10076,0.72727,2.56E-15,3.27E-14,0.14011,2.5583,0.58203,0.94666,0.010519,0.020917
HBQ1,6,0.07825,1.5045,0.89273,0.99115,0.13246,0.18225,0.18169,3.1372,0.49324,0.94252,0.0017058,0.0043295,0.1335,2.5407,0.69402,0.96915,0.011062,0.019917,0.0063055,0.11548,0.85052,0.98258,0.90806,0.93108
SLC16A12,6,0.07826,1.5961,0.89269,0.99115,0.11046,0.15501,0.14589,2.7061,0.61925,0.96366,0.0068073,0.014769,0.18599,3.7923,0.51882,0.93491,0.00014929,0.00039128,0.15863,3.1895,0.5162,0.93801,0.0014252,0.0035219
SDR39U1,6,0.078289,1.4873,0.89269,0.99115,0.13692,0.18753,0.059153,0.99478,0.97236,0.99714,0.31984,0.40799,-0.26628,-4.652,0.14311,0.7758,3.29E-06,1.15E-05,-0.38348,-6.4406,0.051891,0.61778,1.19E-10,1.20E-09
TF,6,0.078327,1.7183,0.89246,0.99115,0.085736,0.12422,0.29053,6.0984,0.20926,0.84171,1.07E-09,9.96E-09,-0.064665,-1.3815,0.56718,0.94729,0.16711,0.22269,-0.060321,-1.2797,0.58657,0.94841,0.20066,0.27206
PSAT1,6,0.078347,1.5642,0.89232,0.99115,0.11777,0.16419,0.35128,6.6415,0.12083,0.78257,3.10E-11,3.81E-10,-0.10341,-1.9712,0.44928,0.9201,0.048706,0.075414,0.092638,1.8048,0.77648,0.97173,0.071104,0.11161
FDCSP,6,0.078348,1.5998,0.89232,0.99115,0.10965,0.15401,0.13022,2.4331,0.67834,0.96851,0.014969,0.029526,0.11086,2.2396,0.77786,0.97974,0.025114,0.041831,0.18209,3.6821,0.438,0.92156,0.0002313,0.00068493
ZNF331,6,0.078387,1.4846,0.89205,0.99109,0.13765,0.18844,0.052049,0.86847,0.99927,1,0.38514,0.47543,0.38258,7.4769,0.12262,0.75336,7.61E-14,8.15E-13,0.28671,5.4611,0.17997,0.7962,4.73E-08,2.97E-07
C10orf114,5,0.078496,1.5797,0.89168,0.99078,0.11418,0.15966,0.23229,4.4448,0.33995,0.8949,8.80E-06,3.82E-05,-0.12112,-2.3601,0.40037,0.90548,0.018268,0.031382,-0.17423,-3.3468,0.26427,0.85521,0.00081745,0.0021359
MLL3,6,0.078501,1.6068,0.89168,0.99078,0.10809,0.15212,-0.2814,-4.9011,0.12267,0.78257,9.53E-07,5.02E-06,0.21566,4.4297,0.43048,0.91104,9.44E-06,3.05E-05,0.0072745,0.14397,0.85469,0.98333,0.88552,0.91315
CASP9,6,0.078515,1.5733,0.89168,0.99078,0.11565,0.16151,0.11147,1.8652,0.75361,0.97705,0.062158,0.10145,0.19722,3.9572,0.48407,0.92982,7.58E-05,0.00020978,0.18615,3.6915,0.42507,0.91736,0.00022291,0.00066295
SUB1,6,0.078531,1.5427,0.89163,0.99078,0.1229,0.17055,0.1511,2.6569,0.60064,0.95979,0.0078853,0.016828,0.15072,2.9413,0.63406,0.96108,0.0032689,0.0065852,0.51067,10.458,0.021636,0.59095,1.35E-25,1.07E-23
ADH6,6,0.078561,1.5365,0.89159,0.99078,0.12441,0.17237,0.19952,3.5322,0.43374,0.93059,0.00041214,0.0012196,0.12683,2.4534,0.71804,0.97257,0.014151,0.02494,-0.16522,-2.9734,0.28439,0.87074,0.0029452,0.0067439
TET1,6,0.078591,1.5149,0.89145,0.99078,0.12979,0.179,0.10163,1.731,0.79551,0.98185,0.083445,0.13099,0.26957,5.2707,0.29879,0.86826,1.36E-07,5.99E-07,0.15224,2.8807,0.53706,0.94074,0.0039685,0.0088123
KBTBD2,6,0.078595,1.6112,0.89145,0.99078,0.10714,0.15102,-0.076116,-1.3673,0.5119,0.94692,0.17154,0.24201,-0.069849,-1.3779,0.5504,0.94233,0.16824,0.22397,0.051889,1.0329,0.95526,0.99508,0.30166,0.38271
RSC1A1,6,0.078612,1.6431,0.8914,0.99078,0.10037,0.1427,0.23839,4.7167,0.32446,0.88911,2.40E-06,1.17E-05,-0.016305,-0.333,0.73321,0.97513,0.73913,0.78862,-0.070549,-1.4198,0.55058,0.94294,0.15567,0.21912
SKIV2L,6,0.078623,1.5711,0.8914,0.99078,0.11617,0.16216,0.061092,1.1012,0.96415,0.99584,0.27079,0.35458,0.16843,3.3562,0.57401,0.94756,0.00079032,0.001807,-0.0006782,-0.013049,0.82141,0.97947,0.98959,0.99264
CCNJ,6,0.078627,1.5458,0.8914,0.99078,0.12216,0.16963,0.11888,2.1199,0.72326,0.97333,0.034011,0.060342,-0.035943,-0.6823,0.6634,0.96549,0.49505,0.56714,-0.017651,-0.3325,0.75118,0.96928,0.73952,0.79357
SLC25A5,6,0.078628,1.6163,0.8914,0.99078,0.10602,0.14976,-0.058113,-1.0581,0.56796,0.9534,0.29,0.37566,0.090894,1.8442,0.8529,0.9832,0.065153,0.097424,-0.075961,-1.4895,0.53184,0.939,0.13636,0.19535
CCDC152,6,0.078631,1.4232,0.89136,0.99078,0.15467,0.20867,-0.39748,-5.6621,0.05102,0.66132,1.50E-08,1.12E-07,0.2107,3.8288,0.44497,0.91879,0.00012879,0.000342,0.15514,2.7585,0.52766,0.93873,0.0058062,0.012365
RTKN,6,0.078639,1.635,0.89136,0.99078,0.10204,0.14473,0.14418,2.7447,0.6254,0.96435,0.0060563,0.013357,0.019791,0.40169,0.86839,0.98518,0.68791,0.74479,0.013608,0.2732,0.8815,0.9878,0.7847,0.83167
PXT1,6,0.078669,1.5913,0.89118,0.99078,0.11154,0.15636,0.023196,0.41822,0.87807,0.98918,0.67578,0.74478,0.14341,2.8822,0.65904,0.96545,0.0039495,0.0078282,0.15666,3.1247,0.52313,0.93873,0.0017799,0.0043028
CCDC40,6,0.078672,1.5394,0.89118,0.99078,0.12371,0.17157,0.087587,1.5243,0.8529,0.98806,0.12744,0.18802,0.084998,1.6341,0.87568,0.98657,0.10224,0.14473,0.12833,2.458,0.62938,0.95586,0.013972,0.026897
PPP6R1,6,0.078695,1.6644,0.89108,0.99078,0.096026,0.13728,0.24147,4.7856,0.31529,0.88727,1.71E-06,8.55E-06,-0.10875,-2.2079,0.43319,0.91204,0.027252,0.045007,-0.12991,-2.6025,0.36901,0.90481,0.009254,0.018682
ASB6,6,0.078701,1.4908,0.89108,0.99078,0.13602,0.18654,-0.19267,-3.3141,0.2303,0.84325,0.00091923,0.0024988,-0.080813,-1.5805,0.51547,0.93446,0.11399,0.15919,-0.074889,-1.4494,0.53559,0.93979,0.14722,0.20876
N6AMT2,6,0.078746,1.6236,0.89099,0.99078,0.10446,0.14788,-0.17347,-3.0493,0.26358,0.86273,0.0022938,0.0056523,0.19495,4.0232,0.49205,0.93194,5.74E-05,0.00016187,0.2091,4.2842,0.35549,0.89724,1.83E-05,6.90E-05
SCNN1B,6,0.078806,1.5899,0.89085,0.99078,0.11185,0.15676,0.12008,2.2652,0.71836,0.97287,0.023498,0.043813,-0.095482,-1.8703,0.47311,0.92691,0.061449,0.092482,-0.011452,-0.22482,0.77699,0.97185,0.82212,0.86145
ABCA13,6,0.078827,1.4822,0.89081,0.99078,0.13827,0.18922,0.11869,1.9717,0.72381,0.97333,0.048645,0.082212,-0.051943,-0.93091,0.60766,0.95532,0.3519,0.42448,0.17692,3.2786,0.45359,0.92349,0.0010433,0.0026622
PLCB2,6,0.078889,1.6142,0.89063,0.99078,0.10648,0.15029,0.012463,0.22705,0.83562,0.98687,0.82039,0.86439,0.0095624,0.19055,0.82847,0.98273,0.84888,0.8809,0.0057291,0.11293,0.84804,0.98239,0.91009,0.93284
CDK3,6,0.078899,1.4546,0.89058,0.99078,0.14578,0.19813,0.10532,1.7009,0.78011,0.98053,0.088956,0.13852,0.069229,1.2457,0.93578,0.99204,0.21289,0.27519,0.1062,1.7796,0.71877,0.96321,0.075144,0.11707
LHX6,6,0.078914,1.5175,0.89058,0.99078,0.12915,0.17819,0.12403,2.1494,0.70355,0.97134,0.031603,0.056598,0.17956,3.4479,0.53789,0.93866,0.00056505,0.0013283,0.056898,1.0589,0.93257,0.99341,0.28965,0.36962
GIMAP4,6,0.078955,1.6708,0.89049,0.99078,0.094766,0.1357,0.0078138,0.14998,0.81513,0.98293,0.88078,0.91183,0.013762,0.28502,0.84511,0.98294,0.77563,0.82006,0.0079086,0.16228,0.85702,0.9839,0.87109,0.90163
NUS1,6,0.07899,1.43,0.89044,0.99078,0.15271,0.20637,-0.43622,-5.7816,0.041302,0.6407,7.40E-09,5.89E-08,-0.098897,-1.6757,0.46161,0.92141,0.09379,0.13422,-0.27053,-4.3114,0.12372,0.7401,1.62E-05,6.17E-05
HNRNPAB,6,0.079029,1.4522,0.8903,0.99078,0.14644,0.1989,0.386,6.8412,0.085767,0.72784,7.86E-12,1.07E-10,0.38321,7.3886,0.12203,0.75325,1.48E-13,1.53E-12,0.16369,3.0165,0.49764,0.93417,0.0025568,0.0059648
DEFB136,6,0.079117,1.639,0.88998,0.99078,0.1012,0.14374,-0.030555,-0.55801,0.66601,0.96795,0.57684,0.65718,0.29526,6.2041,0.24552,0.84173,5.50E-10,3.46E-09,0.26558,5.5112,0.21747,0.82778,3.56E-08,2.29E-07
SH2D2A,6,0.079177,1.467,0.88985,0.99078,0.14238,0.19411,-0.14429,-2.2257,0.32455,0.88911,0.026036,0.047814,-0.19917,-3.4156,0.23585,0.83849,0.00063631,0.0014808,-0.052586,-0.91772,0.6138,0.95384,0.35877,0.44222
KRTAP19-5,6,0.079205,1.7137,0.88971,0.99078,0.086582,0.12533,0.16838,3.4075,0.53578,0.94701,0.00065556,0.0018491,-0.069769,-1.4647,0.55045,0.94233,0.143,0.19419,-0.15178,-3.1245,0.31368,0.88491,0.0017809,0.0043048
TSPAN33,6,0.079226,1.5264,0.88971,0.99078,0.1269,0.17545,-0.20794,-3.4016,0.20807,0.84171,0.00066993,0.001886,-0.20915,-3.7801,0.22049,0.83276,0.00015673,0.00040943,-0.000061873,-0.0011462,0.82393,0.97962,0.99909,0.99927
PPP2R5C,6,0.079229,1.6303,0.88971,0.99078,0.10304,0.14604,-0.0078325,-0.14267,0.7548,0.97705,0.88655,0.91568,0.29199,6.0928,0.25084,0.8459,1.11E-09,6.69E-09,-0.072929,-1.4262,0.54252,0.94248,0.1538,0.21684
FAM129C,6,0.079266,1.6404,0.88971,0.99078,0.10092,0.1434,0.13348,2.527,0.66528,0.96795,0.011503,0.023446,0.19401,4.0177,0.49512,0.93295,5.88E-05,0.00016555,0.21677,4.4638,0.33509,0.89169,8.05E-06,3.27E-05
EPB41L2,6,0.07928,1.5682,0.88971,0.99078,0.11684,0.16302,0.10674,1.9015,0.77387,0.97997,0.057241,0.094542,0.16124,3.1757,0.59766,0.95341,0.0014949,0.003234,0.25803,5.1074,0.23268,0.83448,3.27E-07,1.76E-06
URI1,6,0.079294,1.554,0.88966,0.99078,0.12017,0.16719,-0.013655,-0.23115,0.7317,0.97527,0.8172,0.86184,0.078606,1.5109,0.90016,0.98964,0.13082,0.17967,-0.024053,-0.44781,0.72455,0.96482,0.65429,0.71978
USP6,6,0.079296,1.6518,0.88966,0.99078,0.098578,0.14047,-0.0086537,-0.1625,0.75178,0.97693,0.87091,0.90411,0.03129,0.63884,0.91341,0.99051,0.52293,0.59424,0.18282,3.775,0.43566,0.92156,0.00016003,0.00049081
ZDHHC5,6,0.079309,1.4601,0.88962,0.99078,0.14427,0.1964,-0.071281,-1.102,0.52808,0.94701,0.27048,0.35422,0.038401,0.68635,0.9411,0.99223,0.49249,0.56484,0.069529,1.2342,0.87619,0.98771,0.21714,0.29029
SAFB2,6,0.079364,1.6141,0.88948,0.99078,0.10651,0.15033,0.088083,1.6183,0.85097,0.98798,0.1056,0.16037,-0.08511,-1.6592,0.50378,0.93365,0.097072,0.13829,-0.054092,-1.0486,0.60784,0.95308,0.29436,0.37473
HSP90AA1,6,0.079442,1.6938,0.88911,0.99078,0.090306,0.13009,0.30172,6.1229,0.19005,0.83286,9.19E-10,8.64E-09,-0.061111,-1.2639,0.57763,0.94773,0.20625,0.26769,-0.080203,-1.6402,0.5173,0.93801,0.10096,0.15087
RAI2,6,0.079445,1.5041,0.88911,0.99078,0.13256,0.18236,0.32851,5.8616,0.14903,0.80415,4.58E-09,3.78E-08,0.18851,3.5685,0.51121,0.93405,0.00035903,0.00087383,0.35358,6.7906,0.092322,0.69207,1.12E-11,1.33E-10
RABEP1,6,0.079454,1.548,0.88907,0.99078,0.12162,0.16894,0.011565,0.19942,0.832,0.98684,0.84193,0.88111,0.014591,0.26797,0.84822,0.98318,0.78872,0.83161,0.038185,0.71876,0.98487,0.99745,0.47229,0.55398
VIT,6,0.079461,1.6367,0.88907,0.99078,0.1017,0.14435,-0.03196,-0.58684,0.65987,0.96698,0.55731,0.63921,0.097911,1.9924,0.82755,0.98273,0.04633,0.072094,-0.10517,-2.0574,0.43617,0.92156,0.039649,0.067227
RNF138,6,0.079589,1.6165,0.88852,0.99078,0.10598,0.14971,0.041806,0.7553,0.95567,0.99572,0.45007,0.53938,0.30831,6.3694,0.22099,0.83279,1.90E-10,1.28E-09,0.27402,5.5821,0.20229,0.81654,2.38E-08,1.58E-07
HINT3,6,0.079597,1.5406,0.88852,0.99078,0.12342,0.17121,0.14443,2.5396,0.6243,0.96435,0.011097,0.022734,-0.031588,-0.59014,0.67903,0.96753,0.55509,0.62436,0.098881,1.8678,0.75095,0.96928,0.061787,0.098732
GPRASP2,6,0.079598,1.5881,0.88852,0.99078,0.11226,0.15729,0.17106,3.5124,0.52698,0.94701,0.00044403,0.0013034,0.02236,0.4803,0.87848,0.98712,0.63101,0.69414,0.029903,0.63813,0.94861,0.9949,0.52339,0.60172
GAK,6,0.079618,1.6197,0.88847,0.99078,0.10531,0.14887,0.21946,4.173,0.37405,0.90758,3.01E-05,0.00011555,-0.13571,-2.6396,0.3642,0.88998,0.0083009,0.015356,-0.017693,-0.34686,0.75113,0.96928,0.72869,0.78381
DNAI2,6,0.079674,1.5009,0.88843,0.99078,0.13337,0.18337,0.2111,3.5932,0.39881,0.9174,0.00032668,0.00099379,0.17528,3.2933,0.55178,0.94304,0.00099018,0.00222,0.20351,3.7971,0.37195,0.90481,0.0001464,0.00045217
RTN2,6,0.079712,1.4771,0.88815,0.99069,0.13966,0.19087,0.20763,3.509,0.40912,0.92152,0.00044976,0.0013193,0.23746,4.4347,0.37314,0.89136,9.22E-06,2.99E-05,0.28041,5.2186,0.19033,0.80023,1.80E-07,1.02E-06
SMIM14,6,0.079715,1.6236,0.88815,0.99069,0.10445,0.14788,-0.063552,-1.1276,0.55187,0.95027,0.2595,0.34212,-0.037505,-0.7373,0.65771,0.96517,0.46094,0.53427,-0.065977,-1.2764,0.56695,0.94631,0.2018,0.27329
MAP7D2,6,0.079745,1.4556,0.88815,0.99069,0.14549,0.19782,0.07117,1.1955,0.92198,0.99456,0.23189,0.31151,0.31184,6.0303,0.21531,0.83084,1.64E-09,9.59E-09,0.32259,6.1844,0.1273,0.7439,6.24E-10,5.54E-09
SYT15,6,0.079776,1.5612,0.88806,0.99069,0.11847,0.16507,-0.37247,-5.8679,0.062159,0.69378,4.41E-09,3.66E-08,0.077076,1.482,0.90658,0.98964,0.13835,0.18868,0.16692,3.2224,0.4871,0.93121,0.001271,0.0031751
PPIA,6,0.079785,1.5834,0.88806,0.99069,0.11332,0.1586,0.098306,1.7738,0.8083,0.98212,0.076102,0.12087,0.073333,1.432,0.91983,0.99078,0.15214,0.20506,0.14338,2.8021,0.57007,0.94631,0.0050771,0.010948
KBTBD13,6,0.079809,1.5674,0.88797,0.99069,0.11701,0.16324,0.27665,5.1029,0.23598,0.84438,3.35E-07,1.94E-06,0.10646,2.0668,0.79377,0.98085,0.038753,0.061537,0.26216,5.1544,0.22356,0.82869,2.55E-07,1.40E-06
CCDC33,6,0.079826,1.6656,0.88792,0.99069,0.095796,0.13698,0.1368,2.631,0.6535,0.96697,0.0085128,0.018005,0.17424,3.6286,0.55517,0.94381,0.00028493,0.00070641,0.12299,2.523,0.65125,0.95631,0.011634,0.022865
E2F8,6,0.079868,1.5321,0.88783,0.99069,0.12549,0.17373,0.24893,4.7249,0.29782,0.88113,2.30E-06,1.12E-05,0.13879,2.8017,0.67477,0.96708,0.0050834,0.0098581,-0.093202,-1.7977,0.47513,0.93021,0.072219,0.1132
NUDT6,6,0.079891,1.7468,0.88774,0.99069,0.080665,0.1176,0.057377,1.1603,0.97928,0.99744,0.24593,0.32703,-0.046387,-0.98905,0.62741,0.96049,0.32264,0.39439,0.042623,0.91134,0.9956,0.99913,0.36211,0.44564
SLCO4A1,6,0.079892,1.4991,0.88774,0.99069,0.13384,0.18394,0.013201,0.21294,0.83823,0.98687,0.83137,0.8732,-0.07821,-1.3903,0.52326,0.93601,0.16444,0.21954,-0.083555,-1.4627,0.50621,0.93645,0.14354,0.20417
ACP2,6,0.079924,1.5722,0.88755,0.99069,0.11591,0.16184,0.13594,2.4019,0.65652,0.96698,0.016312,0.031863,0.3489,7.0379,0.1598,0.7903,1.95E-12,1.73E-11,0.21512,4.204,0.34018,0.89331,2.62E-05,9.56E-05
C4orf19,6,0.079925,1.638,0.88755,0.99069,0.10141,0.144,0.09647,1.7835,0.81623,0.98311,0.074504,0.11869,0.23865,4.925,0.3703,0.89036,8.44E-07,3.26E-06,0.073994,1.4754,0.85565,0.98356,0.14012,0.19998
CAPN6,6,0.079943,1.6367,0.88755,0.99069,0.10169,0.14434,0.24567,4.667,0.30401,0.8817,3.06E-06,1.45E-05,0.21232,4.3612,0.4402,0.91649,1.29E-05,4.09E-05,0.080112,1.5967,0.83053,0.98036,0.11032,0.16291
L2HGDH,6,0.079959,1.6475,0.88751,0.99069,0.099449,0.14158,-0.14201,-2.3989,0.32986,0.89239,0.016445,0.032078,-0.11421,-2.2499,0.41806,0.91047,0.024453,0.040846,-0.26779,-5.0817,0.12711,0.7439,3.74E-07,1.99E-06
FAM189A1,6,0.079994,1.6719,0.88742,0.99069,0.094543,0.13541,0.10915,2.0895,0.76287,0.97779,0.036665,0.06442,0.10013,2.0686,0.8193,0.98263,0.038582,0.061305,0.046208,0.93914,0.98056,0.99678,0.34766,0.4307
CEP128,6,0.08,1.6748,0.88742,0.99069,0.093982,0.13471,0.084887,1.6107,0.865,0.98918,0.10724,0.16249,0.0070826,0.14452,0.81948,0.98263,0.88509,0.91047,-0.057253,-1.145,0.59707,0.94983,0.25222,0.32866
FABP4,6,0.080121,1.5857,0.887,0.99048,0.1128,0.15796,-0.08217,-1.3927,0.49374,0.94252,0.1637,0.23271,-0.041761,-0.79404,0.64304,0.9624,0.42717,0.50123,-0.11076,-2.0529,0.42109,0.91724,0.040082,0.067864
C11orf1,6,0.080126,1.5028,0.887,0.99048,0.13288,0.18274,-0.045499,-0.72595,0.61054,0.96208,0.46787,0.5561,0.16784,3.1354,0.57589,0.94756,0.0017162,0.0036655,0.19476,3.6129,0.39885,0.91347,0.0003028,0.00087215
OR6P1,6,0.080158,1.7271,0.887,0.99048,0.084155,0.12212,0.42424,8.8863,0.057713,0.68128,6.32E-19,2.40E-17,0.044094,0.93607,0.96402,0.99551,0.34924,0.42183,-0.015252,-0.31939,0.76108,0.96997,0.74943,0.80157
RPL31,6,0.080164,1.7016,0.887,0.99048,0.088827,0.12818,-0.093042,-1.7579,0.46055,0.93393,0.078771,0.12455,-0.0645,-1.2581,0.56755,0.94729,0.20836,0.27001,-0.18121,-3.6308,0.25116,0.84848,0.00028257,0.00082016
ANKRD34A,6,0.080174,1.6172,0.887,0.99048,0.10583,0.14953,0.17162,3.1457,0.52523,0.94701,0.0016568,0.0042194,0.067935,1.3434,0.94055,0.99223,0.17915,0.23665,0.095184,1.8702,0.76571,0.97065,0.061449,0.098261
PRC1,6,0.080174,1.6014,0.887,0.99048,0.1093,0.15359,-0.23351,-3.7318,0.17309,0.81989,0.00019014,0.00061297,0.17857,3.5605,0.54105,0.93931,0.00037017,0.00089809,0.060051,1.1626,0.91891,0.99174,0.24498,0.32127
PCIF1,6,0.080214,1.7111,0.88687,0.99048,0.087069,0.12593,0.139,2.7372,0.64529,0.96597,0.006196,0.013624,-0.04312,-0.89252,0.63828,0.96108,0.37211,0.44546,0.19506,4.1309,0.39775,0.91338,3.61E-05,0.00012795
CD99L2,6,0.080217,1.6297,0.88687,0.99048,0.10317,0.14619,0.15713,2.9158,0.57905,0.95654,0.0035482,0.0083339,-0.27247,-5.1265,0.13766,0.77335,2.95E-07,1.23E-06,-0.2651,-4.9334,0.12977,0.74677,8.08E-07,4.03E-06
BROX,6,0.080225,1.6475,0.88687,0.99048,0.099458,0.14159,0.08736,1.6375,0.85432,0.98823,0.10153,0.1549,0.113,2.2972,0.77039,0.97974,0.021609,0.036549,0.15666,3.176,0.52313,0.93873,0.0014932,0.0036721
DHX30,6,0.080226,1.6991,0.88687,0.99048,0.089299,0.12879,0.11394,2.2155,0.74398,0.9759,0.026725,0.048894,0.098645,2.0654,0.82452,0.98263,0.038881,0.061722,0.11903,2.4779,0.66711,0.95631,0.013216,0.025598
DRP2,6,0.080244,1.5994,0.88682,0.99048,0.10972,0.15411,0.065694,1.174,0.94453,0.99489,0.2404,0.32073,0.28494,5.7577,0.26619,0.85401,8.52E-09,4.50E-08,0.064721,1.2525,0.89709,0.98998,0.2104,0.28301
CRYBA1,6,0.080269,1.6131,0.88664,0.99048,0.10671,0.1505,0.46313,9.0148,0.04011,0.6407,1.97E-19,8.16E-18,0.2113,4.2582,0.44254,0.9181,2.06E-05,6.28E-05,0.21444,4.2866,0.34229,0.89331,1.81E-05,6.83E-05
CRY2,6,0.080272,1.664,0.88664,0.99048,0.096109,0.13737,0.092016,1.7218,0.83415,0.98684,0.085099,0.13326,-0.3991,-7.4839,0.053587,0.66422,7.21E-14,7.77E-13,-0.10795,-2.1133,0.4275,0.91763,0.034575,0.059718
GTPBP8,6,0.080301,1.61,0.88659,0.99048,0.1074,0.15133,-0.16529,-2.8362,0.27917,0.8717,0.0045656,0.010405,0.0012091,0.023562,0.7978,0.98139,0.9812,0.98531,0.035936,0.697,0.97479,0.99597,0.4858,0.56709
SNAP47,6,0.080398,1.598,0.88627,0.99048,0.11005,0.15453,0.19835,3.5969,0.43718,0.93112,0.00032205,0.00098107,0.20834,4.1529,0.45166,0.9201,3.28E-05,9.68E-05,0.25172,5.0006,0.24662,0.84545,5.72E-07,2.93E-06
DNPEP,6,0.080458,1.44,0.88609,0.99048,0.14986,0.20292,0.17831,2.8242,0.5041,0.94621,0.00474,0.010763,0.13287,2.349,0.69626,0.96943,0.018824,0.032261,0.26974,4.8431,0.2094,0.82245,1.28E-06,6.13E-06
STRC,6,0.080511,1.6777,0.88581,0.99047,0.093406,0.13399,0.084791,1.6094,0.86523,0.98918,0.10753,0.16286,-0.040364,-0.77504,0.64813,0.96364,0.43832,0.51177,0.12337,2.5267,0.64983,0.95631,0.011515,0.022666
MANF,6,0.080525,1.5465,0.88581,0.99047,0.12198,0.16941,0.21242,3.7808,0.39523,0.91711,0.00015633,0.00051267,0.11878,2.2443,0.74921,0.9789,0.024814,0.041379,0.16736,3.1751,0.48526,0.93121,0.0014978,0.0036825
FAM211B,6,0.080547,1.6099,0.88577,0.99047,0.10741,0.15134,-0.24918,-4.1202,0.15448,0.80886,3.79E-05,0.00014239,-0.063231,-1.2114,0.57185,0.94756,0.22576,0.28958,-0.018464,-0.35246,0.74774,0.96928,0.72449,0.78018
SMAD2,6,0.080551,1.648,0.88577,0.99047,0.09935,0.14146,0.35254,6.8367,0.11905,0.77894,8.10E-12,1.10E-10,0.0046501,0.092518,0.81054,0.98228,0.92629,0.9431,-0.098391,-1.9034,0.45845,0.92698,0.056986,0.092085
LRRC40,6,0.080559,1.6436,0.88577,0.99047,0.10026,0.14258,0.082977,1.5269,0.87293,0.98918,0.12678,0.18716,0.26474,5.4571,0.3085,0.87049,4.84E-08,2.29E-07,0.041867,0.82715,0.9984,0.99936,0.40815,0.49193
TBRG1,6,0.080579,1.5831,0.88563,0.99047,0.11339,0.15868,-0.018571,-0.31925,0.71107,0.97188,0.74954,0.80651,0.31698,6.3491,0.20711,0.8279,2.17E-10,1.46E-09,0.028005,0.52976,0.94091,0.99439,0.59628,0.66726
GPX6,6,0.0806,1.761,0.88554,0.99047,0.078237,0.11452,0.28144,5.8598,0.22663,0.84325,4.63E-09,3.82E-08,0.015847,0.33981,0.85221,0.9832,0.734,0.78464,0.21327,4.6399,0.34527,0.89455,3.49E-06,1.53E-05
FAM49A,6,0.080617,1.5187,0.88549,0.99047,0.12884,0.17783,0.46009,8.3348,0.041256,0.6407,7.76E-17,2.30E-15,0.17857,3.3576,0.54105,0.93931,0.00078614,0.0017979,-0.061739,-1.1013,0.58162,0.94666,0.27078,0.34955
PPP1R26,6,0.080697,1.4458,0.88526,0.99041,0.14822,0.20097,0.10325,1.6457,0.789,0.98061,0.09982,0.15274,0.098825,1.7417,0.82411,0.98263,0.081569,0.11867,0.18308,3.2382,0.43461,0.92147,0.001203,0.0030246
C10orf35,6,0.080801,1.6568,0.8848,0.99005,0.097551,0.13917,0.38822,7.6346,0.084254,0.72784,2.26E-14,4.61E-13,0.15051,3.0705,0.63452,0.96108,0.0021372,0.0044668,0.044755,0.89218,0.98652,0.99754,0.37229,0.4556
DPP10,6,0.080907,1.691,0.88416,0.98948,0.090839,0.13078,-0.19226,-3.4707,0.23076,0.84325,0.00051917,0.0015011,0.27026,5.7043,0.29741,0.86657,1.17E-08,6.07E-08,0.14161,2.9158,0.57667,0.94666,0.0035475,0.0079718
XPNPEP1,6,0.080917,1.5061,0.88407,0.98948,0.13203,0.18172,-0.036404,-0.59275,0.64433,0.96597,0.55335,0.63576,-0.11433,-2.0252,0.41774,0.91047,0.042843,0.067273,-0.11135,-1.9508,0.41953,0.91724,0.051086,0.083661
